Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Pts/MJ,xG,xGA,xGD,xGD/90,5 derniers,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
Paris S-G,16,12,4,0,44,14,+30,40,2.50,41.7,15.7,+26.0,+1.63,V N N V V,47,180,Bradley Barcola - 10,Gianluigi Donnarumma,
Marseille,16,10,3,3,37,19,+18,33,2.06,26.3,23.4,+2.9,+0.18,V V V N V,63,310,Mason Greenwood - 10,Gerónimo Rulli,
Monaco,16,9,3,4,26,16,+10,30,1.88,31.7,15.1,+16.6,+1.04,V D V N D,9,435,Eliesse Ben Seghir - 5,Philipp Köhn,
Lille,16,7,7,2,26,16,+10,28,1.75,26.1,19.6,+6.5,+0.40,V N V N N,41,209,Jonathan David - 11,Lucas Chevalier,
Lyon,16,8,4,4,28,20,+8,28,1.75,28.4,22.6,+5.8,+0.36,N V V D V,53,138,Alexandre Lacazette - 5,Lucas Perri,
Nice,16,7,6,3,31,21,+10,27,1.69,27.4,19.9,+7.5,+0.47,V D V N V,24,719,Evann Guessand - 7,Marcin Bułka,
Lens,16,6,6,4,19,15,+4,24,1.50,25.5,19.3,+6.2,+0.39,D V V N D,37,917,M'Bala Nzola - 4,Brice Samba,
Toulouse,16,7,3,6,18,17,+1,24,1.50,23.7,15.0,+8.7,+0.54,D V D V V,25,193,Zakaria Aboukhlal - 6,Guillaume Restes,
Auxerre,16,6,3,7,24,26,-2,21,1.31,20.5,29.9,-9.4,-0.59,V D N N D,16,545,Hamed Junior Traorè - 7,Donovan Léon,
Strasbourg,16,5,5,6,28,28,0,20,1.25,22.6,29.0,-6.4,-0.40,D D N V V,19,448,Andrey Santos - 6,Đorđe Petrović,
Reims,16,5,5,6,21,21,0,20,1.25,20.1,24.9,-4.8,-0.30,N D N N D,16,603,Keito Nakamura - 7,Yehvann Diouf,
Brest,16,6,1,9,24,29,-5,19,1.19,20.1,29.2,-9.1,-0.57,D V D V D,14,781,Ludovic Ajorque, Romain Del Castillo - 4,Marco Bizot,
Rennes,16,5,2,9,22,23,-1,17,1.06,18.9,18.3,+0.6,+0.04,D V D V D,27,317,Arnaud Kalimuendo - 7,Steve Mandanda,
Angers,16,4,4,8,16,26,-10,16,1.00,17.4,23.5,-6.0,-0.38,D V D D V,13,825,Himad Abdelli - 4,Yahia Fofana,
Saint-Étienne,16,5,1,10,15,35,-20,16,1.00,17.2,30.8,-13.6,-0.85,V D D D V,27,980,Zuriko Davitashvili - 5,Gautier Larsonneur,
Nantes,16,3,6,7,18,25,-7,15,0.94,17.5,23.0,-5.5,-0.35,D N V D N,30,234,Moses Simon, Matthis Abline - 4,Alban Lafont,
Le Havre,16,4,0,12,12,34,-22,12,0.75,15.6,28.6,-13.1,-0.82,V D D D D,20,224,Abdoulaye Touré - 3,Arthur Desmas,
Montpellier,16,2,3,11,15,39,-24,9,0.56,18.1,30.8,-12.7,-0.80,D N D N D,13,876,Arnaud Nordin - 4,Benjamin Lecomte,
